rating,title,text
5,Don't listen to the trolls,"If you're a fan of the previous two games then this game will blow you away. The graphics are spectacular and the open world aspect is a lot like S.T.A.L.K.E.R. It's a fantastic game with a lot of major improvements over its predecessors and couldn't reccomend it more. For those that are new to the series yes the sensitivity is lower than most fps games to make it more realistic and also the point of the game is survival horror, so don't try to kill everything you see!"
1,Frustrated,"It needs a 20-25Gb update before you can play the game. If I had known, I would never have bought this game. I live in a rural area with low data cap  and slow speeds. Constantly having to update games has just about made me give up on gaming. I love the fallout series but the constant need for high speed internet makes my butt want to take a dip of snuff. (It's irritating)"
1,Dead On Arrival.,Brand new system overheats and wont stay on for more than a few minutes. It was dead on arrival. Very disappointed.
5,"The case is very well made and fits very nicely, it looks and feels like it could be ...","The case is very well made and fits very nicely, it looks and feels like it could be an official Nintendo product. The Different angles are great when I like to play on my desk, far superior to the built in kickstand. Sliding the Joy-Con controllers in and out is very easy thanks to the design of this case. One really nice addition is the strap on the back that is handy for handheld mode. A detail that I appreciate a lot are the air intake cut outs, confusingly labeled as speakers in the product photos, that help keep the console cool where some other product don't. I would recommend you get this case if you're looking to take it on the go or just want to have a more protected console."
1,arm and leg,Cool figure but its not worth the price listed. I will wait for target or walmart to stock it.
1,Not sure yet,"I hope to enjoy the game..I got it yesterday from eb games and YES I noticed the online connectin required. HOWEVER, MOST WILL ASSUME THIS IS FOR REGISTRATION ONLY Its not an online game(primarily) . Until you actually open the box you dont realize that you are required to have one to even play.  I DONT agree with that AT ALL.  They will still get their money, this is the sort of thing thats driving pc gamers to console, and making these companies spend more on consoles than pc games (much to the chagrin of pc gamers).  While the game itself may be worth it, (looking forward to it) this BS with ""steam"" is definitely NOT"
1,does not work for switch,if i could give negative it would be negative 5 stars. purchased becAUSE IT SAID IT WORKED FOR NINTENDO SWITCH BUT IT IS NOT COMPATIBLE FOR NINTENDO SWITCH VERSION OF MINECRAFT.  WOULD HIGHLY NOT RECOMENED THIS PRODUCT. VERY DISAPINTEDIN THIS PURCASE STAY AWAY.
1,Don't buy this garbage,"Let me be clear, there is nothing, i repeat NOTHING special about this sd card, a standard micro sd card that costs less and has more storage will work PERFECTLY FINE WITH YOUR NINTENDO SWITCH, THIS IS NOTHING MORE THAN A SCAM."
5,Five Stars,"Fantastic headset for the price. Lacks some features of more expensive brands, but definitely a great find!"
5,Finally I can use the mic on my Astros A 50's on Xbox one!!!!!,I order this chat wire for my xbox one controller adapter and it works perfect with the Astro A50 headphones. I love it.
5,Best nerf shooting game EVER!,This is the best nerf game I've ever played! The red reveal feature that allows you to get secret codes is awesome!  Great for all ages.
5,Rayman is back and looking great on gameboy color!,"Rayman is back and better than ever on gameboy colors.  The graphics are awesome with a huge variety of color.  Rayman is trying to defeat the evil Mr. Dark and free all the toons. Like Warioland 3, this game also makes you  go back to free toons you couldn't before because of special abilities like  flying.  Without losing any lack of controls, this platformer is a keeper.  Rock on Rayman!"
1,Christmas Present that was DEFECTIVE,"Ordered this present early for my 3 kids - it was to be the ""big"" gift for the day.  They were so excited to set it up.  Guess what?  It didnt work - the power supply is apparently defective.  Not Amazon's fault - the purchase experience, packaging, speedy delivery was all great.  Spent an hour on hold with XBox Customer Service while they checked to see if they could replace the power supply without a fee (huh? it was brand new?  was there even a question?)....finally, she agreed to send a new one, and told me in approximately 10 business days I would receive it.  Cant tell you how disappointed we are with our first XBox experience."
5,"Comfortable grip, questionable storage.","I have no complaints about the grip itself.  It offers good support and has totally eliminated the cramping I was getting in my wrists.  It's comfortable, lightweight, portable, and very easy to remove from the 3DS unit. It fastens securely and never feels like it's going to fall off.  The stand works as it should and I'm glad I have it for when the 3DS gets Netflix.  I do have one small complaint though.  It seems silly to me that it would have a storage space for an SD card rather than a 3DS game card.  Since I only use one SD card it's pretty useless for me.  While not a huge inconvenience, it seems like a pretty big oversight, especially considering that I usually carry multiple game cards and an extra storage space would be very convenient. Besides, if I really needed to bring an extra SD card with me, but the only available slot held a 3DS cartridge, wouldn't it be pretty easy to just stick the SD card in there? SD cards are smaller in all three dimensions... Anyways, I am very happy with my purchase (great price, by the way) and I highly suggest it to anybody considering buying it."
5,Love my WriteWayPro!,"As an author, I struggled to keep my information together and contained but couldn't do it on my own the way I wanted. A friend suggested WriteWay, I downloaded the trial version and liked the program enough that I bought it. Once I learned my way around the program, I now have several books started with character traits and photos, location photos of where the story takes place, etc. The program allows me to do scenes within chapters, I can see my word count progress, check the number of pages per chapter, spell check, color code my POVs and characters plus much more. I love the program! I would recommend it to any author!"
1,Dead as many others with blue light of dead.,"Dead on arrival and amazon would not exchange, just refund. What I'm I supposed to do with a refund? Can't play with it. After 2 hour hold with Sony they are replacing my unit. Lady told me they are very aware and surprised almost all are coming from amazon.if you ordered one from amazon, don't even open it, return it!"
5,My son loves this game,"The graphics are amazing, my 9 year old son loves it."
1,Do NOT buy the 4GB for Halo: Reach.,"As of this writing, Halo: Reach is not properly programmed to address the 4GB of flash memory inside the Slim.  This means that any co-op (Campaign or Firefight) will not work.  Until a patch is released (who knows when that will be), go with the 250GB version."
1,Buy it on steam.,The only way to redeem this item is with Bethesda's terrible launcher.
2,Get it cheap,"Its a fun game to play on the go, but a huge downside to it is that in order to win XP and money from matches to unlock more stuff in the game, you need to be connected to wifi. I play this on work breaks and when I'm out, you don't always have the luxury of internet connection. Just another classic example at how 2K messed up yet again with another game."
2,Why is there no power cord,Why did I get no power cord what happened there did they just forget the thing actually needs power to work like are you serious
1,Poorly Developed,"Although the Micro Sleeve is a perfect fit to the GBA Micro,it is almost comepletely pointless. The GBA Micro comes with a cotton bag already to fit the Micro in. This sleeves looks to be something u can have on while playing but that is not possible. The GBA Micro Sleeve isn't comfortable while playing. The sleeve it self makes it hard to push buttons. The start and select button along with the left and right trigger are not even visable. The only thing I can see useing this for is carrying it, but thats what the cotton bag is used for."
5,Worked Great,We connected the controllers and they worked great out of the package.
5,Great replacement for original,"After the cat chewed through my OEM cord, I replaced it with this one and haven't noticed a difference. Works perfectly, and now I hide it in an ottoman where the cat hasn't figured out how to get at it... Yet."
5,One of The Best Games of the Decade,"I must admit I really enjoy playing a good RPG or JRPG, and recently it seems there's been a lack of them. When I first heard of Ni No Kuni, it was a few weeks before the release date, I read a few reviews, including IGN's and immediately felt the need to buy this game. I'm not sure if it was the visuals that Studio Ghibli is famed for, or if it was the music. But, I knew i wanted it, so I went out and purchased it on the day it was released. As soon as I started the game, it brought back those childhood memories of watching films like Howls Moving Castle, Princess Mononoke, and Spirited Away. The way the visuals were done so well is probably my favorite part of the game. After playing 10 hours through the story, I realized that it is just an amazing game and that I definitely got my moneys worth here, if you're teetering on buying this game, go for it :)"
5,Great Family Game,"This is the only game (garden warfare and this one) that my wife will play with me in the last couple years- We split or take turns.  Game can strategically be advanced, yet also super playful that any age would benefit from.  Garden warfare and chill weekend coming up! (Tmi?)"
1,Not satisfied,It's missing a part that was not told about in the description of the console
5,The Original puts Uncharted on the run,I will make this review short and sweet. The graphics are amazing the story is solid the visual and cinema-tics  are nothing short of breath taking. If you had any doubts of this game fear not. This game is great. I have not been able to stop playing. So do yourself a favor or someone else a favor. Go out right now and buy this game after reading this!
5,Works for pc!,Packaging came with the corner crushed but the controller was fine. WORKS WITH PC!!! its a nice matte black with a really industrial feel. For 40 bucks you can't get better quality powera didnt skimp they just took out the wireless features to make it cheaper. The cord actually locks in and you have to depress 2 side buttons on the side of the micro usb to get it to come out so thats kinda good and bad. Nice grips on the edges of the sticks. Overall i do recommend this u can change the colors and make it breathe to match your setup ive never felt bumpers and triggers this nice maybe its the new xb x design or its powera idk but it feels heavy duty.
1,"Waste of money, and a system.","No one is gonna buy this, and if they do, it WILL kill their system at some future point when they forget to remove it. The system doesnt attract dust when powered down, it attracts dust when its ON."
5,"A Fun game, with great replay value","This game is fantastic.  You play as a pioneer in the wild west, seeking resources and adventure.  The game comes with four different modes, that change the goal of the game, along with the look and feel, just enough to make it interesting, but not too much, so you still feel like you are playing the same game. There's a lot going on for each game, which gives you options on how you want to try to win.  Overall, I loved the game, and would highly recommend it."
1,What a disappointment! This is not the Supercharges your kid is looking for!,My son saved up his money also to purchase this and what a disappointment. He said that this version is a mario cart-esque supercharges. The Wii version is not the version where you move through the game and try to defeat Kaos. If you are looking for the version that is the next game in the series DO NOT BUY THIS.
2,"Clunky, and old-fashioned, but still fun","I purchased this game after playing the far superior Freedom Force, and while that game runs rings around this one, Hero X is still entertaining in a retro way. Unfortunately, the game isn't very stable, even on a state of the art machine, and I frequently encountered problems with crashes, scrambled backrounds, and saved games that failed to load. That said, when the game did work, it was fun, if repetitive. Not much of a challenge. For real superheroic bang for your buck, hunt down Freedom Force instead."
5,Have it for 2 weeks and have to head back to review.,"This is a pretty decent product for the price from YCC team. The package include the manual, the usb cable, the thumbstick cover that they giving away for now and the charger itself. To be honest, they're pretty good! Not sure if they will charge faster with usb 3.0 but im feeling it. i just plug it to my fast samsung charger 3.0 and not to the ps4. After 2 weeks of using, I'm impressed, the charger feels pretty solid, fast on charging and looks good! Ha! and the last thing is they even give out thumbstick cover too. I already have one from KontrolFreak but who cares, free stuff is free!"
1,????,"I purchased this gift CARD to give as a gift, but what I received was an email with the code. So I had to copy the code and write it on one of my own Christmas cards to give to my grandson as a gift. Why advertise a digital gift CARD when what you get is an email with the code??????? Sorry, but I was disappointed. I really wanted an actual gift CARD."
1,"Save your money, Scrabble does not run on Windows XP","I'd give this game a -10 if Amazon had an option for it.  I've played Scrabble on-line and at home for years and absolutely love the game.  Atari has taken the game and ruined it for me.  Don't bother buying Scrabble Complete if you are running Windows XP.  It will lock up and IF you should get into the game it will run so slow you'll want to scream.  I had an old copy of Scrab Complete.  I thought it was a scratched CD so I bought a new copy.  In the mean time, I bought a new computer and when I installed the new copy it didn't run on my new puter.  I emailed Attari tech support and got the usual run around.  Try this, try that, send a copy of a file, blah, blah.  Here's an idea Atari, try installing a copy on an XP computer, then come up with a fix.  I'm serious people, save your money and hope Hasbro buys back the rights to Scrabble."
1,This wasnt the correct version.,I bought this thinking it would work on my 3ds. But this is the EUROPEAN version. So it wont work on US 3ds's. Im not too happy about this since nowhere did it say it was the European version of the game.
4,No power supply included.,"This is a great product. However it does not come with the power supply needed to power it up. Nowhere on the instructions, the box, or the description does it mention needing to purchase a seperate power supply. Amazon would not help me with this. I had to steel one from a home security camera to get it to power up and now I have to contact logitech."
1,Waste of Money,"This car charger came with the Inetec case, and although it looks very stylish, it has one very serious design flaw. It wouldn't stay in the lighter slot on either my wife's Saturn SL2 or in my Geo Metro! It was popping out so frequently that my wife and I were having to trade turns holding it in the slot so we could get the PSP to charge. If you really need a car charger, try the Pelican charger instead. It worked right out of the packaging, and was certainly a lot less trouble."
1,Don't do it.,"3 words, Always on DRM. (I guess that is technically six)  This could be great game but you can't play offline, ie on the airplane or a place you don't have the internet. For a game where there is no social element required, though it is a nice add on here, that is ridiculous.  If all my software was like this I might as well not own a laptop.  So, I am going to call this a desktop only game, that is assuming EA fixes the servers on their side which is another ball of wax entirely.  What happened to you MAXIM?"
1,SYSTEM DOESNT WORK!! DONT BUY!!!,"I ordered this consule and was so excited to play again. Only to find out that when it arrived, I doesnt display on my TV at all. Turns on, but no sound, video or anything at all. Light is on it rotates the discs. But I am definitely disappointed. Dont buy this product. Going to return mine."
1,don't even think about getting this pass there's hardly any ...,don't even think about getting this pass there's hardly any content and it repeats the same mundane tasks of the previous version of destiny. Spend your money elsewhere and just get a new game. Of course this is my opinion.
1,"No adventure, just action.","This game was so disappointing; I can't even begin to detail the inadequacies.  If I had wanted an action game, I would have bought one.  I was so looking forward to this since I have enjoyed all three predecessors.  No mouse control at all.  And, as I read in other reviews, going in a straight line is really difficult.  I don't play action games so I am figuring that, if you're use to them, the characters in GOF are easy to control but I'm not use to action games.  This is really second rate.  Where are the secret places?  Where are the puzzles?  Who cares about killing these stupid monsters?  I'm only on the second level and I don't want to move forward.  What a bore. What a disappointment.  I've bought other EA games and they are action rather than adventures games, so I was angry at myself for those, but I'm mad at EA for this one.  I preordered it, assuming it would be in the same vein as the previous three - boy, was I disappointed.  Wonder how many times I can say that?  Don't buy it, if you haven't already.  The first day I was already looking for cheats or patches - anything to make the game more doable and usable."
4,Pretty good,This doesn't shoot as fast as you are led to believe but aside from that it works well
1,unhappy,had to down load from separate disk then was told didnt have enough gigga bites just didnt like cant play
5,Worth it!,Really pretty wireless controller. Easy to sync and very responsive. Worth it!
5,Be patient,For all the parents out there hang in there I just found him locally at a major video game retailer along with thumpback
1,Ridiculous,"Really pissed off. Although information was given about the board, it doesn't say it's required to play. I was irate when I saw that. I would strongly encourage people to buy from a different source."
1,You better keep your money,"I feel so dissapointed about this cases. A friend of mine made the purchase for me with his account and received it today and what a surprise. The condition is not 'used', but awful, all cases are totally useless for what I wanted them. My damaged PS4 cases are in better condition than this. I wasted my money and my time."
1,False advertising!,False advertising! I thought I was buying multiple thumb caps according to the picture. Only got one set
5,Awesome,Very happy with this stand. Its build tuff and don't fall over like the cheap stands. Has 3 USB ports that charge pretty quick. The stand has a power button to turn off the charging device so your not burning power and it hasn't overheated with all ports charging.  Great value for the money.
5,James Is B-a-a-ack!!!!!,"I just rec'd this game the day it launched and I can tell you that the graphics may suck at very beginning of playing the game, but there is so much action that takes place, you'll soon pay no mind to it.  Compared to ""Quantum of Solace"", it surpasses it because the gameplay is by far the most refreshing thing to the gaming community. The controls are intuitive, not difficult at all to master because the game prompts don't take you by surprize. Boy! The action is top notch too! Even though I haven't finished the game yet, the game definitely reminds me and plays like ""Uncharted 2"". It truly is a very good game for even those hard core gamers. Get it a try, you won't be disappointed. It's not perfect with the graphics---but I'm sure the developer will do a patch to adjust it."
5,Miss information on this great product. It works!!!,"So I watched a how to install video on YouTube and it wasn't specific to this item. If you look at the small tabs on the bumpers they go into small slots in the controller. Once you align those you will hear the click and it's ready to put back together. If anyone runs into that issue message me. Also, I've seen some people saw the back of the replacement is missing the middle tab. You don't need that. I hope this helps anyone stuck trying to reattach the bumper.  The company responds back asap."
5,Great quality for the price.,"Great headset for the price, very comfortable can be worn for hours without discomfort,adjustable head band moves a fair amount to allow comfort.Sound quality is clear, chat audio comes through clearly aswell as game audio. Noise cancellation works great. The mic sounds clear with little peaking asked multiple people they could all hear me really well. Comes with all plugins for PS4, and computer gaming. Cord is a decent lenght, when plugged into a usb port headset produces bright blue light on the headset and mic. Very happy with this product definitely worth the price."
5,works perfect,works perfect
5,"I lost my job, my home and my wife because of this game!","It's that good!  Just kidding.  Actually, the game is very good.  I remember the last decade of the Cold War very well and this is a lot of fun for that reason alone.  You can really get tactical with this game and the equipment is pretty accurate.  Just make sure you have all of your important things done before you get started.  ;-)"
1,NOT RETURNABLE EVEN IF YOU GET A DEFECTIVE CONTROLLER - BE WARNED,"Purchased two controllers and both gave phantom inputs on both PC and Raspberry Pi.  Bought because of the reviews, but item and quality control has really suffered.  Furthermore, upon trying to return this DEFECTIVE item to amazon, I was told that it was not eligible for returns even though it is not clearly listed in any of the descriptions.  Don't waste your money on this gamble."
2,For parents,"One important aspect that parents might consider is the language used in this game. I would not expect the ""f..."" word to be mild, but the rating apparently does. My 10 year old loves the game, but he plays with the volume off because of inappropriate language."
1,Not good for XBOX controller,I made the mistake of purchasing this after reading the many positive reviews.  I specifically bought it to play with my xbox one controller on my pc.  The micro USB that attaches to the controller doesn't fit in well. It partially hangs out (no good click or snap). It works but I have to position it correctly for it to work. One wrong move and I become disconnected during the middle of an online game.  Avoid this product.
5,Amazing Price and Good Quality,"These work perfectly with my Gamecube.  I have had no issues, and they seem to lock in pretty tightly.  Just so you know, each one is six feet long, so with four of these, you can definitely make longer runs of cable than you can possibly need."
1,"Great For Children, But................","If you are an adult looking to buy a 3DS do not get this version. Yes, it is cheaper, but the clam shell design is gone, which means the system can no longer be closed together. Which means that it's much harder too transport, you can no longer carry it in your'e pocket, you MUST buy a case or it will not last very long. The button placment is akward, especially if you have big hands. The joystic is especially annoying because it feeels like its too high up. No 3D effect, the 3D in some games could significantly add to the experiances and even improve the graphics on some games. Now the games graphical quality seems much lower without the 3D. This console is good for younger children, but that's it. For any older children or adults I recommend you buy the 3DS XL, that system has all the features that this has and all the ones it dosen't. Plus, the screens are bigger, but thank's to it's design it is still smaller than the 2DS."
1,Didn't work on my xbox 360. Kept asking me ...,"Didn't work on my xbox 360. Kept asking me for to infall a Xbox 360 hard drive, which is installed."
2,Does not charge...,"I plugged in my two move controllers and nothing happened. Normally a light would come on saying it is being charged, but no lights changed on this. I left them on till the next day and tried to turn them on and they were died. They was on there for at least 24 hours so it should've charged then."
5,Switch case,Very nice quality switch cases comes when multiple different things for your switch very durable very heavy duty great for somebody that has a switch and like  to travel this will keep your switch protected from getting damaged higher recommended
5,Starfox has always been one of my favorite games!,"My love for Starfox goes way back to when I was a kid and starfox came out for SNES. My father took my mother and I to dinner at the Olive Garden and he snuck away for awhile during our dinner. I didn't think much of it until later on that night when he presented Starfox for the SNES for me. My small brain was blown away by the sheer awesomeness of this game. Now having been some 20 years into the future and my parents having recently passed away I thought it would be fun to relive a memory so vivid from my childhood by playing this wonderful game. It is in fact wonderful! It fulfills my dream to pilot the Ar-Wing from the cockpit as well as see amazing visuals updated for a modern age. It allowed my to relive the memory of my father without feeling sad for once,a year since his passing. Simply one of the best things I could have asked for. Thank you Nintendo and Platinum games for giving my something so fun to play to help me grieve as well as throughly enjoy. Nintendo will always be apart of my happy place. Thanks again!"
4,Good but weird packaging,"The product looks and works fine but it didn't come in a package. It was just the instruction manual, cord, and battery wrapped up in bubble wrap. Seemed kinda weird to me especially since it said it was sold by Microsoft when I ordered it."
5,I love how it's convenient and safe!,I LOVE this car seat and stroller. It's exactly what we needed and the price is great too. Easy to use and safe. Evenflo is one of my favorite car seat brands. I'm a Certified Child Passenger Safety Technician and I would recommend this car seat. I enjoy the fact that I can click it in and out of the stroller. Super convenient. It has straps to hold the car seat into the stroller and there is a place for the front end to also click into the stroller.
2,"Must NOT buy,  play originals versions","Don't buy the 360 version there is no patch for it. Unless you are a super fan of Silent Hill, I wouldn't recommend this Collection to anyone.  These games were made with a incomplete build of the original games from the ps2. This collection takes away from the originals were supposed to be played, the HD exposes what was not meant to be seen in the original versions.  I suggest finding a ps2 and tge games with it to get a true proper experience."
5,If your a gamer buy this,I like because it fits well in my hand and you can play well with this
5,Freaking awesome,These things are fantastic. Must haves for die hard Zelda fans. The detail is incredible and you get bonuses in game!
1,No disks for other RE titles with this. Very misleading!,I purchased Resident Evil Anthology thinking it would include the physical disks for the other 1-5 RE titles. Guess what?  It doesn't!  Aside from the sub-par RE 6 games 1-5 are downloadable content only.  What a major let down.  I'm returning this item.
1,Pre Order Bonus Code missing,"The game was recently delivered to my door.  I  immediately searched for my pre order bonus code and found nothing.  Theres no code, no information or anything.  I pre ordered the game several weeks in advance to make sure I got the bonus content, but I got nothing except the basic game"
4,It's ight,"Its alright, only if amazon allowed for normal people to get their hands on it."
4,Why not buy a DS?,Why would you buy this now? It was really cool a couple of years ago but you should buy a Nintendo DS. It will play all the GBA games plus the DS games for only a little bit more. They've already stopped making games for this system. After Christmas I highly doubt they'll even have games available anymore. Get a DS. Just trying to be a buddy and help.
1,Not worth it. Please wait for the price to go down if you want to buy this title.,I was so excited for the release of this game I preordered it back in december! I spent days imagining the fun I would have playing Street Fighter 5. Then the day came. I'm completely dissatisfied.
5,"It's got a compelling story, great graphics and scenes that make you jump. Everything you need in a game!","I SHOULD write that I HATE it because I never see my husband anymore because HE is the one who LOVES this game so much - that I never see him!! But, with that said, it WAS a Christmas gift, so I'm really happy that I picked something he liked (finally!) that had to do with video games. He's VERY hard to buy for with his PS3 and PS4, but I succeeded! Yay me! Yay Dishonored 2! I've watched him play (I do that, I live vicariously) and I've got to say it's got a compelling story, great graphics and scenes that make you jump. Everything you need in a game! So, Yes, I Definitely will Recommend this game!"
5,Looks Fabulous,"This keyboard and mouse look fabulous, I only have one issue with them the lettering is not really bright and sometimes I have to look  for specific keys and they're a little hard to see, but other than that I really love this set I also got my husband the same set for his comp and he really likes them also. Now my daughter saw them and wants a set too. Update, I spilled a glass of tea into my keyboard and it stopped working but I love this set so much and the price is right so I bought another set. I really love this set if I could give it more stars I would."
2,Reduced the number of players,"Wipeout in the Zone, the first Wipeout game for the Kinect, while it has it flaws, is fun. The four of us (Mom, Dad, and 2 boys) get together and have a few laughs watching each other get knocked about. We gladly purchased this version, Wipeout 2, but when we booted up the game we found that it's only for 2 players! I've never seen a video game series reduce the number of players from one version to the next. Hugely disappointed."
1,Horrible Sony,Sony gotta do better
1,One Star,No pace at all wingers are useless
5,"Best head strap, works with VRPOWER with slight modification","Fits extremely well.  I have tried the other halo straps, the Oculus elite strap, and the HTC DAS, and this is my favorite head strap.  I did cut two identical slots next to the rear slot which allowed the VRPOWER to attach with no other modifications.  This complete setup is very comfortable and has great balance to allow for extended game play."
5,Solid battery packs at a great price,"This product is a great value for the money, and it works well too. The battery life is really good and compares well against other leading competitors. The charger dock is simple and easy to use and makes recharging a no-hassle task. Overall, very pleased with this product."
5,Great Product,"this is a good product i have been using it for some time now and love how the cartridge compartment is removable, but it grips well and feels like im hold a controller with a screen on it, looking forward to buy more products from this company"
5,It's perfect for me,"This case is awesome! Just got it so I can't really say if it holds up for long. But it fits the games I play the most, it is a snug fit but that means they won't go sliding out. The pouch holds my new 3ds xl with a crystal casing tight and perfect, might have to glue some velcro so it'll stay in the case. And the zipper pouch is great, holds my charger, cleaning cloth and little baggy of styluses and there is still more room for earphones or keys or whatever. I notice Mine didn't have the little keten flap like the others but oh well, it's no biggie. I would rate this 10 stars if I could, would buy again!"
4,Very good buy,Very nice controllers for a nice price.
1,Not for tennis players,"I got this game for my birthday and took it back.  I play tennis and love playing tennis.  I would play everyday weather permitting.  This game was suppose to be better than the last one because the technology is available to one to use the Wii remote like a tennis racket.  Instead of doing what they should have done for some reason the game developers decided that we tennis players want to go back to playing tennis from our couches, pushing endless buttons to play tennis.  Shame on you.  I thought you had learned better by now.  I am over 50 years old and like to play active games and I know a lot of people my age who paid good money for our Wii so that we could play active games.  What were you thinking.  So here is my suggestion to game developers:  Get out of your chair and play tennis then develop a tennis game for the rest of us."
5,Great great game,"I'm a big tomb raider fan and having beat that game several times, I needed a new game. I bought far cry 3. I was hooked. Then I found out far cry 4 was coming out. I had to have it. I ordered it and a a few days later I began my journey. I am not disappointed. The graphics are wonderful and there's so much to do. My favorite part is looking for all of the masks, etc. riding the elephants is pretty awesome too."
5,Great Way to Revisit an All-Time Classic,"As someone who still has his Nintendo 64 and this game, I've found it less and less pleasant to play this as time has gone on. Even keeping a CRT in my basement for retro gaming, the 64 just doesn't hold up as well as and it's sad watching games I love become more and more unplayable relative to modern gaming. I picked this remake up among a pile of games for my (new) New 3DS XL and quickly found myself abandoning several other half-finished games (looking at you, Samus Returns) in favor of playing this to completion. Like an old house that's still in great functional shape, sometimes all you need is a fresh coat of paint, and that's exactly what this game delivers. The underlying mechanics of Ocarina of Time are still a blast and being able to short portable spurts suits this game well, especially considering how small the game now feels compared to when it launched in 1998. Graphics aside, a few small tweaks have been made to modernize the experience but my only gripe with this is the update they DIDN'T include. I would have much appreciated it if the developers had removed the old system where your location is reset every time you boot up the game. Granted, as you progress, you learn song that warp you to the general area you want to go, but that still result in some time wasted when a modern portable game should reload you at the last doorway you went through, or some other streamlined system. Still, a small gripe. The game felt great and controlled smoothly. The graphical update does everything it should without robbing any of the original charm. Playing this made me very eager to revisit Majora's Mask soon. If you've never played a 3D Zelda game, this is a recommend starting point."
5,Great Value,I was sceptical that a gaming keyboard would really make a difference. But for the price it seemed worth a try. The keyboard (and the mouse) make a huge difference in my game play. Well worth the price!
1,Not worth it! Don't Buy!,First after doing research these codes are not really random as is it just chooses from a group of worthless games on steam instead of the whole store and it is really possible to get duplicates. It is best not to purchase this and go on steam and look for sales or use humble bundle to get a bunch of games that are worth something plus you know what games you getting.
5,Mac Mechanical Keyboard,"I am currently using this keyboard on a Mac.  Typing experience is completely different than typing on a traditional mac keyboard, longer key travel and louder.  It's a whole new experience."
5,Kamehameha!,"I really enjoy this game. Took me a little while to figure out how everything works but once I did I could not put it down. I love how you can activate the special attacks with the joycons by performing the actual hand movements from the show, it's like a small dream has come true! Kamehameha! ;)"
1,"The case sent did not fit my PS Vita, ...","The case sent did not fit my PS Vita, and in the description, i was led to believe it would. very sneaky..."
4,"Nice, but could be better.","I like the fact that it holds 60 games -- better than their older versions that held only like 28 or so. What I don't like is the fact that when you open it, the games don't stay and fly everywhere because it's tight when you try to open it."
