rating,title,text
5,Cant wait for the 1st dlc,Just be careful when you pick for what game you want the pass for. When you redeem the code is going to ask you for what game you want the pass for so choose the right one or you would be stuck with a expansion pass for the wrong game lol.
4,"Awesome product, cheap price!","My son loves it for gaming. You can control how bright you want it, which is convenient at night. Not to mention the keys are quiet, not like most keyboards my son has played on. Overall I'm very happy! Its a great product for an incredible price!"
1,First one did not work waiting for a replacement.,"The new console looks really nice and is slightly smaller than the origional PS4 however the one i received will not turn on. I must of received a defective one, fingers crossed for when I receive my replacement."
5,Don't read the one star reviews. Watch gameplay and make your own decision.,Don't let these ADD minded people sell you out on not buying this game. It's a great game and a great story. They're just tainted with Call of Duty Advanced Crap games. There are a lot of games out right now that are doing what The Order is. Besides... This type of gameplay for The order was rumored for quite sometime. Anyway graphics are amazing and story is great which I normally could care less about. This is more of a movie than a game but so what?? How many games have you played where there's not much of a break between shooting the same looking bad guys over and over again in a level for 15 or 20 minutes then only to see 30 seconds of a cutscene... That gets just as old. Telltales games are just like this and people don't complain about that.
2,"Beware handle stiching not very strong, its only held by a few stiches, had to return","The bag itself is ok, I had every intention of keeping until i picked it up and the handle came undone from the case to the handle, after closer inspection its held by a few threads. major fail by the design of this case. I had to return it."
4,Muy bueno por el precio,"Adquirí estos audífonos para mi PS4, mis amigos me recomendaban audífonos que no bajaban de 200USD y no tenía el presupuesto para tan gran inversión, así que decidí probar suerte y escogí este. Agradezco haber encontrado estos audífonos que son funcionales, fáciles de instalar y funcionan perfectamente para lo que necesito Warzone en PS4, se escucha muy bien y mis compañeros de juego reportan buen sonido, incluso creían que invertí en uno profesional. Son un poco grandes pero vale la pena adquirirlos si no tienes mucho presupuesto."
5,A Complete Trilogy,"I've been a fan of the AC series since the first release. I've played through AC2 and parts of Brotherhood, so when I saw this trilogy I just had to snag it. It comes with 3 Platinum Hits discs of AC2; AC Brotherhood and AC Revelations. So for anyone now getting into the series, or fans that would like the games to complete their collection, I'd definitely recommend getting this!"
1,Game forces you to subscribe to Steam.,"I have been an avid fan of the previous four Civilization games and was very shocked to find in order just to install Civ 5 I needed to subscribe to the services of Steam.  I had dealings with this company once before and found their gaming services don't always work and getting in touch with their support is next to impossible.  The game description says ""Initial installation requires one-time Internet connection for Steam authentication"" but even after authentication it required Steam to load so by ""one-time"" I guess it means once every time you try to play the game.  I'm returning the game now."
5,My son worked and saved up for this game and ...,"My son worked and saved up for this game and he loves it. Now, I just have to get him off my XBox One."
5,Great mouse for a great price,"I'm very happy with my new computer mouse (which arrived today). Not only did it arrive extremely early, it was better than expected! The mouse has a bit of weight to it which I like, so it doesn't feel chintzy like some mouses do. It feels nice in my hand and has great input latency. And for those who are wondering about the LED's, the colors fade from one to the next ranging in blue, green, pink, purple, and red (with a bit of orange). Overall a great product for a great price."
5,Awesome game!,"I wasn't sure about this game, but Nintendo help with it so I gave it a chance.  It's awesome! Definitely check it out"
5,Feeling like a bamf.,"Craftsmanshap,the material of the necklace strap,the order details with send back option and quality overall is amazing. The necklace is a bit longer than you would expect but putting a couple of knots in it to make it shorter isn't much of a hassle. Thanks Mirimax and thanks Amazon :)"
5,Read the description,"For those of you that are basing your decision for this item on the previous comment, this item states it is for your NEW ps2 and its sleek design meaning the new slim line which i have and this works!"
5,Good Investment,"If you are going to stay with a 4GB - 8 GB mem stick i'm telling you it's not worth it.. especially when you are going to DL huge files demos, videos etc. on you vita. better invest on a long term basis even if it's that expensive but if you are going to use it for a long time it's worth every penny."
2,Disappointing... Very disappointing.,"I've tried very hard to enjoy this game. I'm a huge fan on the Halo franchise. But Halo 5 is awful, I must say. It seemed that 343 tried something new here and failed miserably. No split screen, a very very short campaign and clunky controls. They also introduced a in-game purchase system to grab more of your money. Unfortunately this is debatably the worst Halo to be released. The extensively large maps are literally the only plus side to this game. Very disapointed, it's very hard to play for more than 30 minutes at a time. I apologize for the negative review for those who were excited for a new and improved Halo game."
1,Does not fit properly on Xbox one controller,I bought this to go with my new controller and it does not fit properly. I said it would fit and it doesn't really dispointed
1,"Looks awesome, Works crappy!!!",I loved the feel and look of this headset. I thought the idea was so awesome BUT when Im using it my friends say that I don't sound like me on it and they always tell me to turn my mic off cause there is too much hissing sounds and echo sounds. This happens all the time it never changes so I HIGHLY RECOMMEND not getting this headset cause your just going to run into problems.
5,Great continuation of a great series.,"Takes what made Metro a great series and improved upon it. I'm a couple hours in and so far it's excellent. Some minor control changes require getting used to but it's nothing major. The new customizing system is a welcome addition and fits well with the post-apocalyptic theme. The Amazon pre order bonus of the digital Spartan survival guide is a nice touch although I haven't looked at it yet. All in all, looks like this will be a new favorite game."
5,"something for everyone--very, very well done.","As a caregiver, I spend a lot of my time in doctors offices, hospital waiting rooms, and hospitals in general.  50 Classic Games makes the ""wait time"" go so much faster. 50 Classic Games is a ""wait time buster"" and a ""cup of tea"" relaxer.  Thank you Nintendo."
1,Really great until...,"I loved this charger immensely! It saved me money on batteries and was convenient to use. I didn't have any problems as far as communications with the Wii as the previous poster did, so it worked well for me. However, after only 2 months of usage, the charger is completely dead and won't charge anymore. It was good while it lasted, but now I'm going to be buying another brand that will hopefully last a bit longer than 2 months!"
5,So Perfect,It looks so nostalgic and that's why I got this one. Very good case. It can fit my New 3DS XL that's in the clear plastic case and 6 games. Worth the buy. A great travel case or protective case!
1,One Star,I did not finish the book because of the remorseless animal cruelty.
5,Spore PC game,"I don't understand why people don't like this game. It's fun, it's creative, and even somewhat challenging in a way. I love this game, I love how you gradually evolve, and it's just so much fun!!!!"
5,"MechCommander, GBA Style","This game is a combination of the famous computer games Mech Commander 2 and Starcraft.  it is one of the best stratagy games i have ever played.  unlike Advance Wars, this is not as power build more viehecle type of game.  this game needs strategy.  i would actually give it a 4.5 but, i don't know how.  that is because, like advance wars, you must do the dumb and annoying tutorial missions, happily, there are only seven.  the game offers a two player mode, and a difficult one.  one player will be attacking, while the other will have to stay alive for 10-15 minutes.  what you do is up to you.  you can also setup what suits you can manufacture during battle.  when you get this game, have fun."
5,The price was great,My son loves it
1,Windows Vista is poison for this game,"I got this game and was unable to run it because of Windows Vista.  The sound was choppy and full of static, although they list Vista as a supported OS.  Forget it."
5,Great Product,Sony has recently extended the deadline for the super voucher for another year until march 31st 2014 so no worries on this.
1,Looks legit,Looks legit
5,This game ROCKS!,"Santa brought this game, and I don't think we've stopped playing since!  It is such a blast, and really brings the family together.  We were all so excited when my husband finally beat platinum on ""Brick House"" (it was our last one left that wasn't platinum) the other day.  It has a great variety of songs...new and old.  Another reviewer said there weren't enough new songs, and I disagree.  My friends' daughters (21 and 16) even commented on how many new ones there were (but they still chose to sing ""Take On Me"" from the 80's.  My 8-year-old and my husband have gotten perfect scores on ""Material Girl.""  In fact, my daughter loves all the old 80's tunes.  The only problem we've had with this game is that the arrows don't show up for the dancing.  We don't have a mat, but we tried it at someone else's house.  Anyway, I'm sure we'll get that squared away by the time we get a mat.  I cannot recommend this game enough!  Don't get the headset, the regular mics are better...be sure to get two for duets!"
5,Best AC game in series..,"what are some of theses people talking about? Stop reviewing if you haven't played the game..it's a great game, everything is improved from previous ones.."
5,Absolutely breathtaking.,One of the most unique video game experiences I've ever had. This is a huge game that dares to expand the idea of what a Zelda game can be. Truly one of the best video games of the decade.
1,Broke within 6 months,Not sure if this is a common occurrence but mine broke within 6 months of use. I can still play with the controller while plugged in but it no longer charges the battery.
2,Boring For Those That Played Out Rollercoaster Tycoon 1,"If you've never played the Rollercoaster Tycoon series, than by all means, quickly buy the sequel because it's probably one of the most enjoyable games ever.  It has a simple concept behind it yet the game keeps you hooked for months.  If you love designing and creating, this IS the game for you as it's basically a layman's theme park builder.  For those that did play the first game, I have a small warning for you:  Unless you're hopelessly addicted to the first game and its many expansions, you probably won't get much out of the sequel.  It's almost a carbon copy of the first game.  Some of the rollercoaster building mechanics have changed, there are new attractions, and you can now play on maps that are realistic portrayals of the popular Six Flags theme park chain.  Other than that, everything is the same, even the graphics (which are usually the first thing to get updated in a sequel) don't look any different.  My recommendation for anyone that is the patient type and wishes to buy this game is to wait a month or two.  There are already two expansions for the sequel.  Games like these are quickly packaged into bargain combo packs and I imagine it won't be long before both expansions are available with the original game at a low price."
1,The game box has been opened when I get It ...,The  game box has been opened when I get It and there are no game card in the box. Someone taked my game card away. I am very angry now.
1,"Very, very disappointed...!!!!!","""Steam"", I hate you. I don't say much more, just: save your money!!!!!"
5,PS4 gaming headphones,Sound loud and clear
4,GOOD MOUSE,This is a great mouse for the price. Have to turn down pointer sensitivity on computer but after you do that its flawless. I would recommend this mouse
1,Buyer beware,"Unless you are one of the few people who only play against friends or strangers online this title is a major disappointment.  There is no tournament mode, custom or not.  There is no creation center.  EA has buffed up the graphics and gameplay while downgrading the options to play.  Since most fans of the FIFA series play together in groups, the fact that the PS4 engine produces a better game, it's practically worthless.  You literally have to keep score with pen and paper if you and your friends are having a tournament.  I wish I hadn't sold my PS3 and FIFA14 for that console."
1,Fun Story. Painfully Boring Combat System.,"I love mario games and have played them since I was 2, but the combat in this game is terrible. You have to constantly buy and find cards that are all 1 use and then to attack you need to select the move, paint it if you want, flick it upwards, click to use it, then time taps correctly to get the full value from the card. This long drawn out process is then repeated until the enemies die or you run out of card which sucks bad. If this game had the combat system of Super Mario RPG and the story telling of paper mario it would have been a home run. Instead the entire game revolves around dodging enemies so you don't have to fight in this terrible combat system, solving easy puzzles, item hoarding, and painting white spots to farm items. The dialog is well written and the graphics are cool. Too bad"
4,Good - But NOT a software for Dig-N-Rig unit,"We bought this software hoping, but not clear, that this would be additional software for the Tonka Dig-N-Rigs game. If you are not familiar with Dig-N-Rigs, its a GREAT game that comes with a dashboard unit that mounts on your computer keyboard. You load the software and then all of the controls are on this dashboard, like the steering wheel, crane levers, key, and horn. It is a 5-star game and my 4 year old son said, after playing for a few moments that he would be playing the rest of the day and the rest of his life. We'll, just realize that Construction 2 is not a supplement to that game and you just use your mouse. Its still a good game but not near as gratifying as Dig-N-Rigs, and I hope they eventually come out with supplemental software to that game."
5,So far a good alternative to the Genki Covert Dock,"I own a Genki Covert Dock and desired a second similar product to use as yet another switch dock to use in another room. This product is 25 dollars cheaper, so it caught my eye. These kinds of products are great for tucking an entire switch dock behind your wall-mounted tv or for travel. The Genki Covert Dock has a lot of promise of testing as to not harm your switch as other 3rd party docks can, so I was excited to see that the product page for the Hagibis GaN dock also addressed concerns with 3rd party switch docks causing systems to brick. The size of this thing is incredible, and the red and blue color scheme is very fun. The USB C cable that comes with the device is also very heavy duty. It is a nice braided cable that has a lot of body to it, so I don't imagine it will pinch or crimp without a lot of serious intent. The dock itself was true plug-and-play. I plugged the dock into a power strip, HDMI into the dock, and the USB C into my switch. The switch went dark and the image switched to the tv. I think I'll make sure there is no pressure on the USB C cable when using it as a switch dock. Taking the joycons out to allow the device to lay flat achieves this. The Genki Covert dock comes with a 90 degree low profile USB C cable to avoid this kind of concern. Maybe Hagibis will consider swapping the cable to one of a similar design in the future."
5,Instant Classic,"This game is the kind of game that you will remember playing 10 years from now. This game is belongs in the videogame hall of fame. It was extremely well done and the developers, designers, etc deserves a great deal of praise. I play this on the train to work and it makes a boring trip pass by. This is my favorite PSP game. SOCOM is a great game, but Syphon Filter makes that game seem boring by comparison."
2,Broken on 360,"I have put 3 frustrating hours into this game. Which is virtually unplayable at this point.  Difficulty with loading the game, frequent in game lock up, and major frame rate issues.  Wait for the patch and a price drop on this rehashed game. Worst of the series so far."
5,Awesome mouse,The colors and side buttons are great. Different sensitivity modes make it perfect for gaming.
1,Very Disappointing,"Freezes, glitches, very limited for a Harvest Moon game (the old Wii game was 100 times better), each day is only about 10 minutes - then you need to go back and 'sleep'. The buttons skip around making it difficult to select things. Very poorly made."
1,Cut content and poor port,"Multiplayer has been cut from Jedi Outcast. Multiple features and settings have been removed from these games compared to their PC counterparts, and performance is not that great despite these being old games. Muliplayer on the second game only has a handful of people playing and some are PC players that can always overpower you in a Saber match. Returned and didn't get a full refund. Don't buy this garbage"
1,all the hyp for nothing!!,"I am a big NBA live fan, and i tell you this is not worth your time!  I have playd LIVE since it was on supernintendo, and this game is a waste!  The graphics are crisp, but the moves are slow, the play control is in no comparison the other versions of live on the PS1.  PLEASE do not encourage the purchasing of this game!!  EA sports did a HORRIBLE job, after madden 2001 they give us this weak title....."
5,Works with Nintendo Switch on Zelda Breath of the Wild,"This product is well made, looks beautiful, and works perfectly with my Nintendo Switch playing Breath of the Wild. Just enable Amiibos in the Zelda menu, then activate the Amiibo drop zone via the Left Button (like you would for the bombs or the magnesis power)"
5,Xbox 360,Works like a original
5,The gaming system fits easily in the bag along with two controllers,"We travel a lot to see family and had been using a duffle bag for my son's Xbox.  I thought the price of this bag was reasonable and decided to give it a shot.  The gaming system fits easily in the bag along with two controllers, the cords, and some games.  It has a nice design and it isn't too bulky.  I also like that it has a handle carrier, which I think is safer than straps.  The bottom also has some reinforcement to protect it when it is set down.  I definitely recommend this case."
1,One Star,Way overpriced!
1,Collecting Dust,"I was very excited to finally recieve a Wii but then I was only disapointed when I actually played it. They almost pulled off the motion sensing controller but it just does not work very well. Games are a major problem with this system, they're hardly any games worth owning in its selection and hardly any have internet. Ours now collects dust in our living room; bottom line it is not a very good system."
4,Works like a charm!,"We have had our Kinect sensor since they first came out and have always had issues mounting the ideal position for it.  We have had it under the set, under with zoom, and above the TV.  Our makeshift mount for the above the TV worked at first as we have a Samsung 55"" Touch of Color TV that has a glass bezel frame.  Most commercial mounts didn't appear that they would fit our set.  However, when we found this model of Kinect Mount at low cost, we had nothing to lose.  We got it in a plain packaging, no instructions.  However, it was the greatest thing as it met all the needs we could've hoped for.  The photo makes it look like cheap knockoff plastic design.  It is not.  It's the sturdiest thing we've tried so far and even has locking clips to secure the sensor to it.  Repositioning is a breeze!  Try it!"
5,I'm happy with it,I think it was a great deal. All the in game bonuses made it worthwhile
2,Not for me,"I had played Mist years ago and thought this would be good fit for me. Sadly No. The game has no direction, it just dumps you into a world and lets you wander around its mazes trying to get out. Yes you do find some very cryptic clues from time to time if you can remember how to get back to the device the clue it for. You have to mapping ability not even a compass, and for me no fun."
5,Arno you didn't....,This game is incredibly awesome. There is a new pick locking technique you can use. The story to me grabs my attention alot faster than the other games in the series. And the special effects are amazing. This game is awesome.
5,Best gundam game,So much better than new gundam breaker
1,I'm sure i've played this before?.....,"This is not a new game. it's a DLC pack for Modern Warfare 2. How can this be one of the most eagerley awaited games when it's just a rehash of old. Graphics are dated to say the least, gameplay may be smooth but that does not make up the for the lazy development. Avoid."
5,Great sounds and clear,"Very good quality Gaming headset,  Adjusts to fit  your head and  is still comfortable after using for extended time periods. Made out of good Quality materials and the ears pads are great  keeps the noise out  and your gaming sounds nice and loud. It sounds great has good bass and and very clear when talking to other players and asked how I sounded and they said it was loud and clear, not muffled or any static noise in the background. Comes with instructions on how to connect it  and all the parts needed to use out of the box,  Ready to play."
1,PS4 DOA,Console came DOA...Console wouldn't insert game disc..The gears in the disc module were running in eject mode while the touch button wasn't pressed so I am unable to load the game disc into the player.
5,Very satisfied with this purchase.,"Its beautiful. Looks brand new. Didn't come in ps3 box is my only complaint. Came with a brand new hdmi cord, charging cord, power cord and a Sony brand controller. Its quiet and works perfectly. Our old one overheated, and ps3 games dont work on ps4 so the kids are going to love this."
5,Excellent accessory for the 3DS XL,"I decided to import the CPP from Japan to go with my US 3DS XL and I'm glad I did. It works perfectly with the domestic 3DS XL and really makes playing MGS3 so much better. The CPP is surprisingly light, and while it does add a lot of bulk to the already large XL it feels great in hand. I wish more games supported this accessory."
1,BUYER BE VERY AWARE... Lassie Faire,"Good luck getting any tech support from Amazon, Citizen One, or X box. The Bundle pack is a great offer, but if you need to alter your order, all parties involved are completely incompetent in helping resolve matters."
1,Overpriced and too much blur,"Blurry visuals, no real additions to the game, and way overpriced.  This should have been 30 at the most."
5,a good buyers tip,"If you are a HUGE bionicle fan or want to get this game, I would reccomend buying this game before the Bionicle: Legend of Mata-Nui PC-CD Rom game. the reason being is the PC game is the SEQUAL to the GBA game.so buy this first.a great looking game with AWSOME graphics"
5,Terrific gaming system.,"My nine-year-old loves his Nintendo switch! It was easy to set up and easy to charge and have for travel on the go! Not too bulky either! After much research, this was the one we selected. We are so glad we did because all the others are so bulky and none of them are on the go a definite must for kids!"
5,An oldie but a goodie,"This is one of the best games I ever played. It's an oldie so you need to turn your computer back to allow it to play. Unfortunately, I'm not a whiz in making my XP compatible with windows 95 so I couldn't play it. Maybe I'll find my old windows 95 computer and play it"
5,Works on DS Lite,This came packaged nicely and worked right out of the box. I was worried because of other reviews for similar chargers. This one fits and charges my Nintendo DS Lite.
5,Step up from original gold headset,"Great, sleek, lighter than the original one. Stays on my head. Does not slip an inch. Perfect sound ...plus the app companion on my PS4 makes a great touch! You can hear everything in any game. 7.1 surround sound in this headset."
5,The best RPG in years.,"The best RPG I've played in years. It's not toned down for kids, its a real deal adult RPG. The developers are amazing people, they released DLC and expansions that really enhance the game, not pointless micro transactions like other games. I have been waiting on buying the game until the Complete Edition came out. Cannot wait to dive in again."
5,So far so good,Good product much cheaper option. Hopefully the life will last.
1,DRM? No thank you.,"While I appreciate the creater's rights to protect their product, Spore's DRM is way too much. If you would like an EA sponsored virus running on your machine in the background, without the ability to uninstall without formatting-- well then Spore is the game for you. Shame on EA."
4,Not just for gaming!!,"I am not a gamer, but a 73 old man with eye sight issues---this keyboard helps with the day to day online work I find I need to do---at night it is even better for seeing all the keys and being able to work faster due to seeing better!!!"
2,Carrying strap breaks easily.,"In general, this is awesomely designed to fit my switch and all accessories. However, after a few uses (I've had it a month and half), the carrying strap started to come apart on both sides. Maybe I got unlucky with a faulty strap. I will still use it though, but I wouldn't say top-notch quality."
5,Good,Good case
5,Best Gaming Headset You Will Find At This Price Or Even ones costing mcu h more!,"I have owned many headsets from Logitech, Plantronics and my last 2 were some higher priced Racer Carachias and Kraken Pro and these put all of them to shame. First is the build quality, all top notch materials and construction which will seem to last for a very long time. Second is the comfort, these include 2 different ear cups but I use the default memory foam cups and they are the most comfortable headset I ever tried. Also included is a gorgeous box and carrying pouch. They dont squeeze your head at all and feel like a dream even after hours and hours. The Mic is detachable and is outstanding quality in both construction and sound. Last but not least is the sound quality! these bad boys use a larger than most 54mm drivers that are also unique in that they use the frequency range of 15hz - 20khz that deliver amazing sound. All the cords are long, tough and braided. Now this does come with the standard analog jack but it includes a usb control for volume and mic and is also a soundcard which allows you to activate a virtual 7.1 surround. The surround was not the best BUT if you use the Razer Synapse Virtual 7.1 surround software it becomes unreal! If I activate the razer surround and then the 7.1 button on the headphone cord I can literally pinpoint any enemy in CS:GO, it's outstanding! Every PC magazine and related websites all rate this headset as one of THE BEST you can get, even beating out headsets costing 3x more and I can see (I mean hear) why. Just go read some reviews on these badboys and see how so many praise these. These are worth way more then the crazy low price they sell these out but don't take my word. just do the research."
2,Doesn't work good.,"These just don't work well. I used them on 2 controllers and they still sucked. I love Kontrol Greek but this just sucks. Their thumbsticks work great, their grips work great but these don't. Even with the medium strength ring it is nearly impossible to aim. I had my sensitivity on max and it was like I was on 3. It did help aim though. I could bring the recoil down and I could hit the enemy with most of my shots. You don't over steer with your aim (mainly because it's hard to even aim) and its easier to get back on the enemy if the recoil takes you away. I haven't tried any other brand and at the moment I don't plan to. I hope this was helpful and I hope that you have an amazing day."
5,Lake House : Children of Silence - Collector's Edition,"I love this game.  It does have a built-in strategy guide, but it is a little different than I am use to.  So when ever I get stuck, instead of using the strategy guide, I use the hint button and that takes me where I want to be.  This is a fun game to play, alot of locations and hidden objects are easy to play.  The mini games are also fun to play.  I will certainly play this game again."
1,I am missing the amazon exclusive DLC,I only got the code for the cactaur but nothing of the Sephiroth theme or carbuncle. I waited an extra 3 days for these perks! How do I get them?
1,Another burned-out remote!,"I bought this at Target three weeks ago.  Go to use it tonight and find one of the remotes is very hot.  I remove the battery and there's a burn mark on the back!  I try regular batteries back in the remote itself and it doesn't work.  So not only did I have a possible fire hazard, it also killed the remote it was in!"
5,Protect Your Investment,"I wanted to bring my 360 to my friends houses, but was worried of the possible damage it could cause. Scratches, cracks, and malfunctioning were just a few of my worries. Intec is known for making great cases for xbox, as well as ps2, psp, gameboy, and others, so I went and tried the case. The compartment for the 360 is padded and has an extra cover over the top to seperate it from the rest of the case. Other compartments are shaped to fit 2 controllers, wires, and 6 games. To top it all off, the whole case is protected by the hard case, aluminum shell (preferable over a soft shell case). The only problem with this case is that there is no place to put the power adapter. I tried to fit it in with the controllers, the wires, even the 360 compartment, but no luck. So for now I put the adapter in a seperate bag."
1,One Star,The item was defective. It would randomly shut off during use and glitch. We returned it.
5,nintendo is the best,Nintendo is supreme. All others pale in comparison. They are shameful next to the mighty Nintendo. Definetely worth it if your in to collecting. Definetely worth it if you have kids. At 49.99 its an absolute bargain considering the long term value of an item like this. Straight into the mario collection NO QUESTIONS ASKED for me.
5,Love this controller,"I'd been having an issue with my PS2 and after a lot of trial and error, and buying a new (used) PS2 determined among other issues, none of my controllers worked (weird one wired and 2 wireless).  Anyway looked for a new controller as a trouble shooter.  This controller synced right away, works great and feels comfortable.  Will probably buy another so I don't have to share!"
5,Great keyboard that feels better than the g15,"Overall I am quite happy with this keyboard in comparison with the ""new"" g15. The keys are easier to press and light up far more brightly than the g15. Being able to change the color scheme in the gaming mode really looks awesome. One point I do not like but most would is that in gaming mode the windows key press is cut from the keyboard meaning even if you have it disabled via your registry you cannot press the windows key which I use for skype, ventrilo and teamspeak. Some may complain of the spacebar but it feels fine except it feels as if it could become a sticky press down the line but overall not a significant problem. I can also press more than 3 keys at once and all the keystrokes will register in comparison  with the eclipse 2. Great for gamers and for people who type frequently."
5,Ive had this for a month and it works perfectly would not recommend going to gamestop and paying 70 dollars when this ...,"Was having an issue of my Xbox One not powering on. When I hit the power button it would chime and then turn off. I would have to unplug all the power cables and reset the power brick anywhere from 20-50 times to get the power brick light to turn white and then turn on my xbox. I youtubed countless videos, and none of them worked. I tried taking the power brick apart cleaning it, using a different cable, sticking in the cable to the back of the power brick halfway and wiggling it to try and discharge the static, none of that worked only hoping that after enough times of resetting the brick it would turn on. Ive had this for a month and it works perfectly would not recommend going to gamestop and paying 70 dollars when this is a perfect replacement."
